,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
87,2017,Corey Brewer,22,2562,9.966666667,7.233333332999999,11.56666667,2.5,1.333333333,12.66666667,0.8,0.42466666700000005,0.22366666699999999,0.519333333,45.33333333,0.7373333329999999,742,Not MVP,206.0,84.0,10,"$8,105,615"
88,2017,Cory Joseph,22,2003,13.2,6.6,20.0,1.7,0.6,13.1,3.4,0.452,0.35600000000000004,0.47700000000000004,122.0,0.77,740,Not MVP,190.0,87.0,6,"$7,630,000"
89,2017,Courtney Lee,74,2459,12.1,5.7,10.6,1.6,0.8,8.5,4.2,0.456,0.401,0.49,98.0,0.867,835,Not MVP,196.0,90.0,9,"$11,747,890"
91,2017,D'Angelo Russell,60,1811,15.3,6.7,26.8,2.3,0.7,15.6,1.3,0.405,0.35200000000000004,0.447,188.0,0.782,984,Not MVP,188.0,86.0,2,"$5,562,360"
95,2017,Damian Lillard,75,2694,24.1,7.6,28.7,1.3,0.6,10.2,10.3,0.444,0.37,0.491,545.0,0.895,2024,Not MVP,190.0,88.0,5,"$26,153,057"
98,2017,Danilo Gallinari,63,2134,17.4,8.4,9.1,0.9,0.5,8.1,6.9,0.447,0.389,0.491,387.0,0.902,1145,Not MVP,208.0,102.0,8,"$20,559,599"
99,2017,Danny Green,68,1807,10.2,7.0,9.6,2.0,2.6,14.1,3.4,0.392,0.379,0.42,32.0,0.8440000000000001,497,Not MVP,206.0,100.0,8,"$10,000,000"
100,2017,Dante Cunningham,35,1649,10.2,8.9,3.1,1.2,1.4,7.0,3.0,0.485,0.392,0.579,27.0,0.593,435,Not MVP,203.0,104.0,8,"$2,300,000"
101,2017,Dante Exum,26,1228,8.6,6.2,14.2,0.9,0.8,16.8,1.2,0.42700000000000005,0.295,0.519,73.0,0.795,412,Not MVP,198.0,86.0,2,"$4,992,385"
103,2017,Dario Saric,36,2129,12.8,13.3,14.3,1.3,1.1,15.2,1.0,0.41100000000000003,0.311,0.469,220.0,0.782,1040,Not MVP,208.0,101.0,1,"$2,785,944"
104,2017,Darrell Arthur,7,639,12.8,9.7,9.3,1.5,2.5,13.8,1.1,0.442,0.45299999999999996,0.429,22.0,0.8640000000000001,262,Not MVP,206.0,106.0,8,"$7,464,912"
105,2017,Darren Collison,64,2063,15.3,4.3,24.5,1.6,0.4,12.6,3.9,0.47600000000000003,0.41700000000000004,0.495,171.0,0.86,900,Not MVP,183.0,79.0,8,"$10,000,000"
106,2017,Darrun Hilliard,1,381,5.9,4.7,12.3,1.5,0.4,16.8,-0.2,0.373,0.261,0.43799999999999994,28.0,0.75,127,Not MVP,198.0,92.0,2,"$75,000"
108,2017,David Nwaba,2,397,12.1,8.5,5.0,1.6,1.4,10.1,0.7,0.58,0.2,0.605,39.0,0.6409999999999999,120,Not MVP,193.0,94.0,1,"$1,312,611"
109,2017,David West,0,854,16.6,13.0,24.1,2.4,4.4,22.0,2.6,0.536,0.375,0.541,56.0,0.768,316,Not MVP,206.0,113.0,14,"$2,328,652"
110,2017,Davis Bertans,6,808,12.9,6.9,8.3,1.3,2.8,11.4,2.3,0.44,0.39899999999999997,0.557,34.0,0.8240000000000001,303,Not MVP,208.0,95.0,1,"$1,312,611"
111,2017,DeAndre Jordan,81,2570,21.8,24.2,5.7,1.0,4.3,13.2,11.8,0.7140000000000001,0.0,0.7170000000000001,425.0,0.48200000000000004,1029,Not MVP,211.0,120.0,9,"$22,642,350"
112,2017,DeAndre Liggins,38,1554,10.76666667,10.46666667,6.233333332999999,3.4,1.0,14.13333333,0.333333333,0.423,0.24933333300000002,0.46033333299999996,26.66666667,0.638,304,Not MVP,198.0,94.0,4,"$1,505,942"
114,2017,DeMar DeRozan,74,2620,24.0,8.3,20.6,1.5,0.4,9.0,9.0,0.467,0.266,0.484,647.0,0.8420000000000001,2020,Not MVP,201.0,100.0,8,"$27,739,975"
115,2017,DeMarcus Cousins,144,4930,25.16666667,18.53333333,24.6,2.0333333330000003,3.166666667,13.7,5.066666667,0.451666667,0.363,0.48366666700000005,446.66666669999995,0.773,3884,Not MVP,211.0,122.0,7,"$18,063,850"
116,2017,DeMarre Carroll,72,1882,11.9,8.3,5.7,2.2,1.2,8.3,3.8,0.401,0.341,0.485,117.0,0.7609999999999999,638,Not MVP,203.0,97.0,8,"$14,800,000"
117,2017,Dejounte Murray,8,322,9.6,7.4,22.6,1.3,1.5,22.7,0.0,0.431,0.391,0.441,30.0,0.7,130,Not MVP,196.0,77.0,1,"$1,312,611"
118,2017,Delon Wright,0,446,15.0,6.1,18.2,3.1,2.1,15.1,1.1,0.42200000000000004,0.33299999999999996,0.45299999999999996,55.0,0.764,150,Not MVP,196.0,83.0,2,"$1,645,200"
119,2017,Demetrius Jackson,0,17,30.8,13.1,28.2,0.0,0.0,0.0,0.1,0.75,1.0,0.667,6.0,0.5,10,Not MVP,185.0,91.0,1,"$242,016"
121,2017,Denzel Valentine,0,976,7.3,8.3,9.3,1.5,0.6,14.2,0.6,0.354,0.35100000000000003,0.363,18.0,0.778,291,Not MVP,198.0,96.0,1,"$2,186,400"
122,2017,Deron Williams,88,3314,13.46666667,5.1,33.96666667,0.9,0.533333333,18.16666667,1.6,0.443666667,0.375333333,0.48666666700000005,72.66666667,0.8290000000000001,1402,Not MVP,190.0,90.0,12,"$5,474,787"
123,2017,Derrick Favors,39,1186,15.8,14.9,7.9,2.0,2.7,11.4,2.7,0.48700000000000004,0.3,0.491,109.0,0.615,476,Not MVP,208.0,120.0,7,"$12,000,000"
