,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
221,2017,Jimmy Butler,75,2809,25.1,9.0,24.8,2.6,0.9,9.3,13.8,0.455,0.36700000000000005,0.47700000000000004,676.0,0.865,1816,Not MVP,201.0,99.0,6,"$18,696,918"
222,2017,Joakim Noah,46,1015,15.2,21.3,14.1,1.5,3.0,19.8,2.3,0.493,0.0,0.495,78.0,0.436,232,Not MVP,211.0,104.0,10,"$17,765,000"
223,2017,Jodie Meeks,10,738,13.1,5.7,9.3,2.3,0.4,11.1,1.1,0.402,0.409,0.395,74.0,0.878,327,Not MVP,193.0,95.0,8,"$3,290,000"
224,2017,Joe Harris,11,1138,9.0,6.8,7.3,1.2,0.5,12.5,0.8,0.425,0.385,0.489,49.0,0.7140000000000001,428,Not MVP,198.0,99.0,3,"$1,524,305"
225,2017,Joe Ingles,26,1972,12.4,7.6,17.1,2.6,0.3,18.2,5.0,0.452,0.441,0.47100000000000003,68.0,0.735,581,Not MVP,203.0,102.0,3,"$13,636,364"
226,2017,Joe Johnson,14,1843,12.8,7.6,12.6,1.0,0.8,9.5,3.8,0.436,0.41100000000000003,0.45399999999999996,77.0,0.818,715,Not MVP,201.0,90.0,16,"$10,254,904"
229,2017,Joel Bolomboy,0,53,19.7,18.5,6.3,1.0,3.1,9.7,0.2,0.563,0.25,0.667,6.0,0.5,22,Not MVP,206.0,106.0,1,"$1,068,143"
230,2017,Joel Embiid,31,786,24.1,17.0,16.0,1.7,7.7,17.9,1.9,0.466,0.36700000000000005,0.495,244.0,0.7829999999999999,627,Not MVP,213.0,113.0,1,"$6,100,266"
231,2017,Joffrey Lauvergne,2,1960,12.36666667,14.33333333,11.1,1.333333333,0.36666666700000006,13.36666667,1.0,0.432333333,0.32766666699999997,0.47333333299999997,48.66666667,0.6226666670000001,750,Not MVP,211.0,99.0,3,"$1,524,305"
232,2017,John Henson,39,1123,15.3,15.3,7.7,1.3,6.1,13.0,2.7,0.515,0.0,0.516,107.0,0.6920000000000001,392,Not MVP,211.0,103.0,5,"$11,422,536"
235,2017,John Wall,78,2836,23.2,6.5,46.9,2.7,1.4,16.2,8.8,0.451,0.327,0.48,527.0,0.8009999999999999,1805,Not MVP,193.0,88.0,7,"$18,063,850"
236,2017,Johnny O'Bryant,0,160,14.93333333,13.06666667,13.5,0.0,0.9,15.53333333,0.1,0.5,0.5,0.5,4.0,0.777666667,76,Not MVP,206.0,116.0,3,"$1,524,305"
237,2017,Jon Leuer,34,1944,14.2,11.3,8.6,0.8,1.1,8.7,4.5,0.48,0.293,0.545,113.0,0.867,767,Not MVP,208.0,103.0,6,"$10,497,319"
238,2017,Jonas Jerebko,6,1232,9.3,12.3,8.1,1.0,1.1,12.3,2.1,0.435,0.34600000000000003,0.523,37.0,0.703,299,Not MVP,208.0,104.0,7,"$4,000,000"
239,2017,Jonas Valanciunas,80,2066,20.1,20.8,4.4,0.9,2.6,11.7,7.9,0.557,0.5,0.557,217.0,0.8109999999999999,959,Not MVP,213.0,120.0,5,"$15,460,675"
240,2017,Jonathan Gibson,0,231,9.5,5.5,18.8,1.8,0.0,16.3,-0.1,0.368,0.33299999999999996,0.4,29.0,0.7240000000000001,106,Not MVP,188.0,83.0,1,"$74,158"
241,2017,Jonathon Simmons,8,1392,9.9,6.5,13.2,1.7,1.5,13.7,2.0,0.42,0.294,0.461,132.0,0.75,483,Not MVP,185.0,83.0,2,"$6,300,000"
242,2017,Jordan Clarkson,19,2397,13.1,5.6,14.4,1.8,0.3,12.5,1.2,0.445,0.32899999999999996,0.503,168.0,0.7979999999999999,1205,Not MVP,196.0,87.0,3,"$11,562,500"
243,2017,Jordan Crawford,0,442,17.6,4.1,22.7,1.2,0.4,9.8,0.9,0.48200000000000004,0.389,0.5529999999999999,26.0,0.769,267,Not MVP,196.0,95.0,5,"$1,709,538"
247,2017,Jordan Mickey,1,141,9.8,13.4,7.1,1.1,3.5,18.3,0.1,0.441,0.0,0.455,14.0,0.5710000000000001,38,Not MVP,203.0,106.0,2,"$1,471,382"
248,2017,Jose Calderon,26,1078,8.9,7.5,23.2,1.0,0.166666667,22.46666667,0.2,0.41,0.311,0.507,8.0,0.930666667,282,Not MVP,190.0,90.0,12,"$2,328,652"
249,2017,Josh Huestis,0,31,26.1,16.1,15.5,0.0,7.7,0.0,0.2,0.545,0.5,0.5710000000000001,1.0,0.0,14,Not MVP,201.0,104.0,2,"$1,471,382"
250,2017,Josh McRoberts,14,381,9.8,10.7,18.9,1.3,0.8,15.9,0.3,0.373,0.419,0.35600000000000004,9.0,0.667,107,Not MVP,208.0,108.0,10,"$6,021,175"
251,2017,Josh Richardson,34,1614,10.7,5.8,12.7,1.9,1.9,10.6,2.2,0.39399999999999996,0.33,0.444,77.0,0.779,539,Not MVP,198.0,90.0,2,"$1,471,382"
252,2017,Jrue Holiday,61,2190,17.1,6.4,35.9,2.2,1.6,16.7,3.8,0.45299999999999996,0.35600000000000004,0.498,168.0,0.708,1029,Not MVP,193.0,92.0,8,"$25,686,667"
253,2017,Juan Hernangomez,9,842,13.3,12.3,4.7,1.7,1.1,10.7,1.8,0.451,0.40700000000000003,0.495,76.0,0.75,305,Not MVP,206.0,104.0,1,"$2,076,840"
254,2017,Julius Randle,73,2132,16.3,16.3,19.3,1.1,1.4,16.2,3.5,0.488,0.27,0.507,282.0,0.723,975,Not MVP,206.0,113.0,3,"$4,149,242"
255,2017,Justin Anderson,20,2456,13.8,11.23333333,8.933333333,1.6666666669999999,1.5666666669999998,11.83333333,1.266666667,0.429333333,0.298,0.5329999999999999,86.0,0.788666667,1064,Not MVP,198.0,103.0,2,"$1,579,440"
256,2017,Justin Hamilton,7,1177,13.6,11.8,7.3,1.2,2.8,9.7,2.1,0.45899999999999996,0.304,0.601,52.0,0.75,442,Not MVP,213.0,117.0,3,"$1,000,000"
258,2017,Justin Holiday,4,1639,12.7,7.4,9.2,2.0,1.5,10.3,2.5,0.433,0.355,0.513,80.0,0.825,629,Not MVP,198.0,83.0,4,"$4,500,000"
259,2017,Justise Winslow,15,625,8.2,8.3,15.5,2.2,0.8,11.8,-0.1,0.35600000000000004,0.2,0.384,47.0,0.617,196,Not MVP,201.0,102.0,2,"$2,705,040"
260,2017,Jusuf Nurkic,96,2782,17.86666667,18.7,14.23333333,1.8,4.3,18.56666667,1.333333333,0.5073333329999999,0.0,0.5086666670000001,140.0,0.575666667,1324,Not MVP,213.0,127.0,3,"$2,947,304"
262,2017,Karl-Anthony Towns,82,3030,26.0,19.4,13.2,1.0,2.9,11.3,12.7,0.542,0.36700000000000005,0.5820000000000001,428.0,0.8320000000000001,2061,Not MVP,213.0,110.0,2,"$6,216,840"
263,2017,Kawhi Leonard,74,2474,27.5,9.8,18.9,2.7,1.8,9.1,13.6,0.485,0.381,0.529,533.0,0.88,1888,Not MVP,201.0,104.0,6,"$18,868,625"
264,2017,Kay Felder,0,386,11.2,5.9,22.7,2.3,1.5,14.7,0.0,0.392,0.318,0.40399999999999997,49.0,0.7140000000000001,166,Not MVP,175.0,79.0,1,"$474,616"
265,2017,Kelly Olynyk,6,1538,15.2,13.0,15.2,1.4,1.5,14.6,4.1,0.512,0.354,0.608,123.0,0.732,678,Not MVP,213.0,107.0,4,"$10,607,169"
266,2017,Kelly Oubre,5,1605,9.1,9.1,4.0,1.8,0.9,9.2,2.1,0.42100000000000004,0.287,0.52,99.0,0.758,501,Not MVP,201.0,92.0,2,"$2,093,040"
267,2017,Kemba Walker,79,2739,21.3,6.2,29.1,1.6,0.7,9.5,8.1,0.444,0.39899999999999997,0.47600000000000003,359.0,0.847,1830,Not MVP,203.0,95.0,6,"$12,000,000"
268,2017,Kenneth Faried,34,1296,20.3,19.7,6.3,1.6,2.4,10.4,4.6,0.5479999999999999,0.0,0.556,189.0,0.693,587,Not MVP,203.0,103.0,6,"$12,921,348"
269,2017,Kent Bazemore,64,1963,11.5,6.5,14.2,2.3,2.3,13.6,2.1,0.409,0.34600000000000003,0.446,168.0,0.708,801,Not MVP,196.0,91.0,5,"$16,910,112"
270,2017,Kentavious Caldwell-Pope,75,2529,12.8,5.3,11.2,1.8,0.4,7.9,4.5,0.39899999999999997,0.35,0.442,185.0,0.8320000000000001,1047,Not MVP,196.0,92.0,4,"$17,745,894"
271,2017,Kevin Love,60,1885,21.1,19.5,9.8,1.4,0.9,10.9,6.4,0.42700000000000005,0.373,0.47100000000000003,295.0,0.871,1142,Not MVP,208.0,113.0,9,"$22,642,350"
273,2017,Kevon Looney,4,447,13.4,15.2,8.5,1.5,3.0,12.2,1.4,0.523,0.222,0.551,34.0,0.618,135,Not MVP,206.0,99.0,2,"$1,471,382"
274,2017,Khris Middleton,23,889,15.0,8.1,17.5,2.3,0.7,14.8,1.6,0.45,0.433,0.45899999999999996,92.0,0.88,426,Not MVP,203.0,106.0,5,"$14,100,000"
275,2017,Klay Thompson,78,2649,17.4,5.9,9.3,1.2,1.2,8.0,7.1,0.46799999999999997,0.414,0.516,218.0,0.853,1742,Not MVP,201.0,97.0,6,"$17,826,150"
276,2017,Kosta Koufos,62,1419,13.8,16.4,5.3,1.3,3.1,12.7,2.6,0.551,0.0,0.552,62.0,0.613,470,Not MVP,213.0,120.0,9,"$8,393,000"
277,2017,Kris Dunn,7,1333,8.1,7.3,19.4,3.0,2.3,20.8,0.1,0.377,0.28800000000000003,0.40399999999999997,59.0,0.61,293,Not MVP,193.0,95.0,1,"$4,046,760"
279,2017,Kristaps Porzingis,65,2164,17.4,11.8,7.3,1.1,4.9,9.7,4.5,0.45,0.35700000000000004,0.493,252.0,0.7859999999999999,1196,Not MVP,221.0,108.0,2,"$4,503,600"
280,2017,Kyle Anderson,14,1020,12.5,11.5,12.4,2.5,2.1,14.3,2.7,0.445,0.375,0.462,57.0,0.789,246,Not MVP,206.0,104.0,3,"$2,151,704"
281,2017,Kyle Korver,44,3506,12.16666667,5.8666666670000005,9.366666667,0.966666667,1.0,11.46666667,2.433333333,0.46333333299999996,0.44833333299999995,0.493666667,28.0,0.909,1356,Not MVP,201.0,96.0,14,"$7,000,000"
282,2017,Kyle Lowry,60,2244,22.9,7.3,29.9,2.0,0.7,13.8,10.1,0.46399999999999997,0.41200000000000003,0.518,365.0,0.8190000000000001,1344,Not MVP,183.0,92.0,11,"$28,703,704"
283,2017,Kyle O'Quinn,8,1229,20.5,19.2,14.8,1.5,6.9,14.5,3.9,0.521,0.11800000000000001,0.5379999999999999,83.0,0.7709999999999999,496,Not MVP,208.0,113.0,5,"$4,087,500"
284,2017,Kyle Singler,2,385,5.9,6.9,3.2,0.9,1.0,10.8,0.3,0.41,0.18899999999999997,0.5870000000000001,17.0,0.765,88,Not MVP,203.0,103.0,5,"$4,666,500"
286,2017,Kyrie Irving,72,2525,23.0,5.0,29.7,1.6,0.8,10.3,8.9,0.473,0.401,0.505,328.0,0.905,1816,Not MVP,190.0,87.0,6,"$18,868,626"
287,2017,LaMarcus Aldridge,72,2335,18.6,12.7,9.9,1.0,3.1,7.7,7.3,0.47700000000000004,0.41100000000000003,0.48,271.0,0.812,1243,Not MVP,211.0,117.0,11,"$21,461,010"
289,2017,Lance Stephenson,0,722,9.2,8.2,22.95,0.6,0.625,16.975,0.025,0.452,0.25625,0.48075,6.5,0.60175,244,Not MVP,196.0,104.0,7,"$4,180,000"
290,2017,Lance Thomas,15,968,8.4,7.9,5.0,1.1,0.4,8.6,0.9,0.39799999999999996,0.447,0.371,51.0,0.843,275,Not MVP,203.0,106.0,6,"$6,655,325"
291,2017,Langston Galloway,4,2990,9.866666667,5.566666667000001,9.8,1.333333333,0.3,9.066666667,0.8666666670000001,0.386,0.414,0.365333333,42.66666667,0.827666667,1170,Not MVP,188.0,90.0,3,"$6,666,667"
294,2017,Lavoy Allen,5,871,11.6,14.2,9.1,1.0,2.4,13.7,1.7,0.45799999999999996,0.0,0.461,33.0,0.6970000000000001,177,Not MVP,206.0,117.0,6,"$3,500,000"
295,2017,Leandro Barbosa,0,963,11.5,5.9,13.0,1.5,0.7,10.4,0.6,0.439,0.35700000000000004,0.466,45.0,0.889,419,Not MVP,190.0,87.0,14,"$500,000"
298,2017,Lucas Nogueira,6,1088,15.5,12.6,5.4,2.4,7.2,19.9,3.7,0.66,0.25,0.6940000000000001,67.0,0.657,253,Not MVP,213.0,109.0,3,"$2,947,304"
300,2017,Luke Babbitt,55,1065,8.4,7.4,4.8,1.0,0.8,8.0,1.8,0.402,0.414,0.366,15.0,0.733,324,Not MVP,206.0,102.0,7,"$1,974,159"
301,2017,Luol Deng,49,1486,10.1,10.8,7.0,1.6,1.1,8.7,0.9,0.387,0.309,0.436,63.0,0.73,425,Not MVP,206.0,99.0,13,"$17,190,000"
302,2017,Malachi Richardson,0,198,9.6,6.7,8.7,1.3,0.5,9.5,0.1,0.41200000000000003,0.28600000000000003,0.5,19.0,0.789,79,Not MVP,198.0,92.0,1,"$1,504,560"
303,2017,Malcolm Brogdon,28,1982,14.9,6.3,24.3,2.2,0.5,14.1,4.1,0.457,0.40399999999999997,0.48,126.0,0.865,767,Not MVP,196.0,97.0,1,"$1,312,611"
304,2017,Malcolm Delaney,2,1248,7.5,5.5,23.1,1.5,0.1,18.1,0.1,0.374,0.23600000000000002,0.428,93.0,0.8059999999999999,391,Not MVP,190.0,86.0,1,"$2,500,000"
305,2017,Malik Beasley,1,165,13.7,5.7,10.2,2.1,0.0,9.4,0.2,0.452,0.321,0.5329999999999999,10.0,0.8,83,Not MVP,196.0,88.0,1,"$1,700,640"
307,2017,Manu Ginobili,0,1291,13.9,6.9,20.8,3.2,1.0,16.5,3.0,0.39,0.392,0.387,107.0,0.804,517,Not MVP,198.0,92.0,15,"$2,500,000"
308,2017,Marc Gasol,74,2531,20.2,10.4,24.8,1.4,3.7,11.3,7.7,0.45899999999999996,0.38799999999999996,0.48,332.0,0.8370000000000001,1446,Not MVP,216.0,115.0,9,"$22,642,350"
310,2017,Marcin Gortat,82,2556,15.5,18.7,6.8,0.8,2.1,13.7,6.8,0.579,0.0,0.58,159.0,0.648,883,Not MVP,211.0,108.0,10,"$12,782,609"
311,2017,Marco Belinelli,0,1778,13.3,5.5,13.1,1.2,0.4,9.2,3.2,0.429,0.36,0.488,168.0,0.893,780,Not MVP,196.0,95.0,10,"$7,082,277"
312,2017,Marcus Georges-Hunt,0,48,10.2,10.2,8.3,1.0,0.0,14.9,0.1,0.28600000000000003,0.5,0.2,10.0,0.9,14,Not MVP,196.0,97.0,1,"$1,312,611"
313,2017,Marcus Morris,79,2565,12.4,7.8,9.4,1.0,0.8,7.4,3.9,0.418,0.331,0.466,185.0,0.784,1105,Not MVP,188.0,88.0,6,"$5,000,000"
314,2017,Marcus Smart,24,2399,12.0,7.1,22.0,2.6,1.2,15.6,3.2,0.359,0.28300000000000003,0.42,250.0,0.812,835,Not MVP,193.0,99.0,3,"$4,538,019"
316,2017,Mario Hezonja,2,960,7.2,8.3,9.6,1.5,1.2,14.1,-0.7,0.355,0.299,0.39799999999999996,50.0,0.8,317,Not MVP,203.0,97.0,2,"$4,078,320"
317,2017,Markieff Morris,76,2374,13.7,11.7,7.8,1.7,1.5,11.6,4.1,0.457,0.36200000000000004,0.483,215.0,0.8370000000000001,1063,Not MVP,188.0,88.0,6,"$8,000,000"
318,2017,Marquese Chriss,75,1743,12.3,10.8,5.2,1.8,3.2,13.2,1.8,0.449,0.321,0.52,181.0,0.624,753,Not MVP,208.0,105.0,1,"$3,073,800"
319,2017,Marreese Speights,2,1286,17.6,16.2,8.1,0.9,2.6,10.2,4.2,0.445,0.37200000000000005,0.52,137.0,0.8759999999999999,711,Not MVP,208.0,115.0,9,"$2,116,955"
321,2017,Marvin Williams,76,2295,13.7,11.9,7.1,1.3,2.0,7.2,5.0,0.42200000000000004,0.35,0.494,150.0,0.873,849,Not MVP,185.0,89.0,12,"$13,168,750"
322,2017,Mason Plumlee,128,4296,17.76666667,15.5,19.03333333,1.5666666669999998,3.433333333,15.66666667,4.0,0.538333333,0.0,0.5429999999999999,200.0,0.588333333,1684,Not MVP,211.0,111.0,4,"$14,041,096"
323,2017,Matt Barnes,36,3554,10.4,12.36666667,15.16666667,1.333333333,1.3666666669999998,17.8,1.333333333,0.39899999999999997,0.334666667,0.48200000000000004,59.33333333,0.805,1054,Not MVP,203.0,95.0,14,"$6,400,625"
324,2017,Matthew Dellavedova,54,1986,9.4,4.3,25.7,1.4,0.0,18.8,1.2,0.39,0.36700000000000005,0.40399999999999997,96.0,0.8540000000000001,577,Not MVP,193.0,89.0,4,"$9,607,500"
328,2017,Meyers Leonard,12,1222,8.9,10.7,8.4,0.5,1.8,8.1,1.4,0.386,0.34700000000000003,0.436,40.0,0.875,401,Not MVP,216.0,111.0,5,"$9,904,495"
329,2017,Michael Beasley,6,935,17.8,12.0,9.9,1.5,2.5,12.7,1.8,0.532,0.419,0.545,105.0,0.743,528,Not MVP,206.0,106.0,9,"$2,116,955"
330,2017,Michael Carter-Williams,19,846,9.9,9.7,20.0,2.3,2.2,16.3,0.2,0.366,0.23399999999999999,0.401,77.0,0.753,297,Not MVP,198.0,86.0,4,"$2,700,000"
331,2017,Michael Gbinije,0,32,-2.1,5.1,7.9,0.0,0.0,0.0,-0.1,0.1,0.0,0.16699999999999998,2.0,1.0,4,Not MVP,201.0,90.0,1,"$500,000"
332,2017,Michael Kidd-Gilchrist,81,2349,14.3,13.2,7.4,1.7,2.9,7.4,5.8,0.47700000000000004,0.111,0.483,194.0,0.784,743,Not MVP,201.0,105.0,5,"$13,000,000"
333,2017,Mike Conley,68,2292,23.2,6.0,34.5,2.1,0.8,11.8,10.0,0.46,0.408,0.49700000000000005,368.0,0.8590000000000001,1415,Not MVP,185.0,79.0,10,"$28,530,608"
334,2017,Mike Dunleavy,4,1682,9.866666667,7.5,8.533333333,0.8666666670000001,0.666666667,10.66666667,1.0,0.420333333,0.392,0.46766666700000004,30.0,0.794333333,550,Not MVP,190.0,81.0,26,"$1,600,000"
336,2017,Mike Muscala,3,1237,14.4,10.7,11.9,1.2,2.8,13.1,3.4,0.504,0.418,0.546,64.0,0.7659999999999999,435,Not MVP,211.0,108.0,4,"$5,000,000"
337,2017,Mike Scott,0,195,5.9,10.4,12.5,1.0,1.3,11.3,-0.1,0.28800000000000003,0.14800000000000002,0.406,8.0,0.875,45,Not MVP,203.0,107.0,5,"$1,709,538"
340,2017,Mindaugas Kuzminskas,5,1016,12.4,6.7,10.3,1.4,0.9,11.3,1.2,0.428,0.321,0.517,68.0,0.809,425,Not MVP,206.0,97.0,1,"$3,028,410"
341,2017,Mirza Teletovic,2,1133,8.8,8.3,6.4,0.5,1.0,7.8,0.6,0.373,0.341,0.46,45.0,0.778,451,Not MVP,206.0,109.0,5,"$10,500,000"
342,2017,Monta Ellis,33,1998,10.0,5.7,17.2,2.0,1.2,18.0,1.1,0.44299999999999995,0.319,0.483,128.0,0.727,630,Not MVP,190.0,83.0,12,"$2,245,400"
343,2017,Montrezl Harrell,14,1064,19.2,11.2,9.6,0.9,3.2,9.9,4.1,0.652,0.14300000000000002,0.6629999999999999,121.0,0.628,527,Not MVP,203.0,108.0,2,"$1,471,382"
344,2017,Myles Turner,81,2541,18.5,13.0,6.6,1.5,6.0,9.5,8.0,0.511,0.348,0.536,303.0,0.809,1173,Not MVP,211.0,110.0,2,"$2,483,040"
345,2017,Nemanja Bjelica,1,1190,11.0,12.0,9.6,1.7,1.4,13.4,1.5,0.424,0.316,0.531,61.0,0.738,403,Not MVP,208.0,108.0,2,"$3,950,000"
347,2017,Nerlens Noel,38,2094,20.36666667,16.0,8.033333333,3.066666667,4.166666667,12.46666667,2.666666667,0.593666667,0.0,0.595666667,74.0,0.695,890,Not MVP,211.0,103.0,3,"$4,187,599"
348,2017,Nick Collison,0,128,12.8,13.0,13.2,0.8,1.2,13.1,0.4,0.609,0.0,0.636,8.0,0.625,33,Not MVP,208.0,115.0,13,"$2,328,652"
349,2017,Nick Young,60,1556,14.1,4.8,5.8,1.2,0.7,5.1,3.2,0.43,0.40399999999999997,0.48100000000000004,90.0,0.856,791,Not MVP,201.0,95.0,10,"$5,192,000"
350,2017,Nicolas Batum,77,2617,15.8,10.1,27.6,1.6,1.0,15.0,4.5,0.40299999999999997,0.33299999999999996,0.45299999999999996,284.0,0.856,1164,Not MVP,203.0,90.0,9,"$22,434,783"
351,2017,Nicolas Brussino,2,521,10.7,10.6,13.9,1.7,1.4,14.7,0.6,0.369,0.305,0.5,22.0,0.773,150,Not MVP,201.0,88.0,1,"$393,041"
353,2017,Nik Stauskas,27,2188,9.0,5.7,12.9,1.0,1.2,15.5,1.4,0.396,0.368,0.433,150.0,0.813,756,Not MVP,198.0,92.0,3,"$3,807,146"
354,2017,Nikola Jokic,59,2038,26.4,19.5,28.8,1.5,2.1,15.2,9.7,0.578,0.324,0.628,228.0,0.825,1221,Not MVP,208.0,113.0,2,"$1,471,382"
355,2017,Nikola Mirotic,15,1679,14.5,12.3,6.9,1.6,2.7,10.4,3.8,0.413,0.342,0.52,128.0,0.773,744,Not MVP,208.0,99.0,3,"$12,500,000"
356,2017,Nikola Vucevic,55,2163,19.1,19.6,16.9,1.8,2.8,9.6,4.0,0.46799999999999997,0.307,0.48100000000000004,160.0,0.669,1096,Not MVP,213.0,117.0,6,"$12,250,000"
357,2017,Noah Vonleh,41,1265,10.8,17.0,3.4,1.2,1.7,17.1,1.8,0.48100000000000004,0.35,0.49200000000000005,94.0,0.638,327,Not MVP,208.0,108.0,3,"$4,031,018"
358,2017,Norman Powell,18,1368,14.0,6.9,9.3,1.9,0.9,10.8,2.8,0.449,0.324,0.514,159.0,0.792,636,Not MVP,193.0,97.0,2,"$1,471,382"
360,2017,Okaro White,0,471,7.5,9.6,6.0,1.1,1.7,15.7,0.6,0.379,0.353,0.396,22.0,0.909,98,Not MVP,203.0,92.0,1,"$1,460,927"
362,2017,Omri Casspi,4,1286,9.65,8.225,6.375,1.525,0.35,15.775,0.25,0.49075,0.35700000000000004,0.54275,14.5,0.594,372,Not MVP,206.0,102.0,8,"$2,106,470"
363,2017,Otto Porter,80,2605,17.3,11.1,6.7,2.2,1.3,4.8,9.4,0.516,0.434,0.5760000000000001,119.0,0.8320000000000001,1075,Not MVP,203.0,89.0,4,"$24,773,250"
365,2017,Pascal Siakam,38,859,11.5,12.2,2.9,1.5,4.5,13.1,1.6,0.502,0.14300000000000002,0.515,32.0,0.688,229,Not MVP,206.0,104.0,1,"$1,312,611"
366,2017,Pat Connaughton,1,316,11.8,9.1,12.7,0.9,0.5,18.3,0.6,0.514,0.515,0.513,9.0,0.778,98,Not MVP,196.0,93.0,2,"$1,471,382"
368,2017,Patrick Beverley,67,2058,13.0,10.4,18.8,2.3,1.0,14.6,5.3,0.42,0.382,0.46299999999999997,95.0,0.768,639,Not MVP,185.0,83.0,5,"$5,513,514"
369,2017,Patrick McCaw,20,1074,8.6,5.2,9.0,1.4,1.1,12.1,1.7,0.433,0.33299999999999996,0.5329999999999999,37.0,0.784,282,Not MVP,201.0,83.0,1,"$1,312,611"
370,2017,Patrick Patterson,8,1599,10.8,10.3,6.6,1.3,1.2,8.5,3.3,0.401,0.37200000000000005,0.45799999999999996,60.0,0.7170000000000001,445,Not MVP,206.0,104.0,7,"$5,192,000"
372,2017,Pau Gasol,39,1627,20.2,17.4,14.7,0.8,3.5,10.6,6.4,0.502,0.5379999999999999,0.494,184.0,0.7070000000000001,792,Not MVP,213.0,113.0,16,"$16,000,000"
373,2017,Paul George,75,2689,20.2,10.3,16.1,2.2,0.9,12.6,7.1,0.461,0.39299999999999996,0.501,374.0,0.898,1775,Not MVP,206.0,99.0,7,"$19,300,000"
374,2017,Paul Millsap,67,2343,17.8,12.5,17.9,1.9,2.3,12.1,6.4,0.442,0.311,0.486,405.0,0.768,1246,Not MVP,203.0,111.0,11,"$30,769,231"
375,2017,Paul Pierce,7,277,5.7,9.7,5.0,0.7,1.5,17.4,0.1,0.4,0.349,0.48100000000000004,13.0,0.769,81,Not MVP,201.0,106.0,19,"$3,679,840"
376,2017,Paul Zipser,18,843,6.9,8.0,6.1,0.9,1.5,14.4,0.5,0.39799999999999996,0.33299999999999996,0.451,40.0,0.775,240,Not MVP,203.0,97.0,1,"$1,312,611"
378,2017,Quincy Acy,2,1116,7.833333333,10.6,3.433333333,0.833333333,1.4,9.7,0.6333333329999999,0.377,0.329333333,0.409,40.0,0.723666667,444,Not MVP,201.0,108.0,5,"$1,709,538"
379,2017,Quinn Cook,0,376,11.33333333,2.066666667,23.06666667,1.033333333,0.0,16.73333333,0.133333333,0.492333333,0.42666666700000005,0.5489999999999999,3.333333333,0.35566666700000005,158,Not MVP,188.0,83.0,1,"$175,000"
381,2017,Rajon Rondo,42,1843,13.6,10.4,37.0,2.7,0.5,22.4,2.3,0.408,0.376,0.418,50.0,0.6,538,Not MVP,185.0,84.0,11,"$6,300,000"
383,2017,Ramon Sessions,1,811,12.3,4.9,24.2,1.6,0.3,12.7,0.9,0.38,0.33899999999999997,0.39299999999999996,118.0,0.7709999999999999,312,Not MVP,190.0,86.0,10,"$2,986,463"
385,2017,Rashad Vaughn,2,458,7.8,6.2,7.4,2.1,1.9,8.1,0.0,0.365,0.321,0.413,5.0,0.4,142,Not MVP,198.0,91.0,2,"$2,338,653"
386,2017,Raul Neto,0,346,10.7,5.0,15.1,3.2,1.2,13.6,0.7,0.451,0.32299999999999995,0.517,9.0,0.889,100,Not MVP,185.0,81.0,2,"$1,471,382"
387,2017,Raymond Felton,11,1700,10.9,7.1,16.3,2.0,1.1,13.3,2.0,0.43,0.319,0.473,64.0,0.7809999999999999,538,Not MVP,185.0,92.0,12,"$2,328,652"
388,2017,Reggie Bullock,5,467,11.7,7.5,8.8,1.9,0.5,7.1,1.0,0.42200000000000004,0.384,0.473,7.0,0.7140000000000001,141,Not MVP,201.0,92.0,4,"$2,500,000"
389,2017,Reggie Jackson,50,1424,14.9,4.3,30.3,1.2,0.3,13.4,1.9,0.419,0.359,0.442,136.0,0.868,752,Not MVP,190.0,94.0,6,"$16,000,000"
391,2017,Richard Jefferson,13,1614,8.2,6.9,6.6,0.8,0.5,11.8,2.1,0.446,0.33299999999999996,0.58,108.0,0.741,448,Not MVP,201.0,105.0,16,"$4,828,652"
392,2017,Richaun Holmes,17,1193,18.6,14.4,8.3,1.7,3.7,10.7,3.7,0.5579999999999999,0.35100000000000003,0.606,103.0,0.6990000000000001,559,Not MVP,208.0,111.0,2,"$1,471,382"
393,2017,Ricky Rubio,75,2469,16.8,7.2,38.9,2.6,0.3,20.1,6.1,0.402,0.306,0.44299999999999995,285.0,0.8909999999999999,836,Not MVP,193.0,87.0,6,"$14,100,000"
394,2017,Robert Covington,67,2119,13.2,11.3,7.5,2.9,2.6,13.9,3.1,0.39899999999999997,0.33299999999999996,0.484,174.0,0.8220000000000001,864,Not MVP,206.0,97.0,4,"$16,698,103"
395,2017,Robin Lopez,81,2271,14.4,12.3,5.6,0.4,4.1,9.9,4.3,0.493,0.0,0.494,104.0,0.721,839,Not MVP,213.0,115.0,9,"$13,788,500"
396,2017,Rodney Hood,55,1593,12.4,7.3,10.1,1.3,0.6,8.3,2.6,0.408,0.371,0.44,115.0,0.7829999999999999,748,Not MVP,203.0,93.0,3,"$2,386,864"
397,2017,Rodney McGruder,65,1966,9.1,7.2,8.8,1.2,0.7,10.2,2.9,0.413,0.332,0.488,71.0,0.62,497,Not MVP,193.0,92.0,1,"$1,312,611"
399,2017,Ron Baker,13,857,7.5,6.2,17.3,2.0,0.8,19.2,-0.1,0.37799999999999995,0.267,0.45,43.0,0.6509999999999999,215,Not MVP,193.0,99.0,1,"$4,328,000"
