Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp
1990,Charles Barkley*,79,3085,27.1,16.7,15.6,2.4,1,13.9,17.3,0.6,0.217,0.632,744,0.749,1989,Not MVP
1990,David Robinson*,81,3002,26.3,18.5,8.7,2.2,6.5,13.3,15.1,0.531,0,0.532,837,0.732,1993,Not MVP
1990,Hakeem Olajuwon*,82,3124,24.1,19.5,12.1,2.6,7,14.6,11.2,0.501,0.167,0.502,536,0.713,1995,Not MVP
1990,Karl Malone*,82,3122,27.2,17.1,13.2,1.9,1,13,15.9,0.562,0.372,0.567,913,0.762,2540,Not MVP
1990,Magic Johnson*,79,2937,26.6,10.2,45.5,2.2,0.7,16.9,16.5,0.48,0.384,0.51,637,0.89,1765,MVP
1990,Michael Jordan*,82,3197,31.2,10.4,28.6,3.5,1.1,9.8,19,0.526,0.376,0.548,699,0.848,2753,Not MVP
1991,Charles Barkley*,67,2498,28.9,15.3,20.6,2.2,0.8,12.6,13.4,0.57,0.284,0.614,658,0.722,1849,Not MVP
1991,David Robinson*,81,3095,27.4,19,10.9,2,6.2,13.7,17,0.552,0.143,0.554,777,0.762,2101,Not MVP
1991,Hakeem Olajuwon*,50,2062,24.3,19.9,10.2,2.9,6.4,13.9,8.6,0.508,0,0.51,277,0.769,1187,Not MVP
1991,Karl Malone*,82,3302,24.8,17.2,14.7,1.4,1.5,10.9,15.5,0.527,0.286,0.529,888,0.77,2382,Not MVP
1991,Magic Johnson*,79,2933,25.1,10.9,49.3,1.8,0.3,20.4,15.4,0.477,0.32,0.532,573,0.906,1531,Not MVP
1991,Michael Jordan*,82,3034,31.6,9.5,25.2,3.7,1.7,8.7,20.3,0.539,0.312,0.551,671,0.851,2580,MVP
1992,Charles Barkley*,75,2881,24.5,16.5,18.1,2.4,0.9,14.3,12.3,0.552,0.234,0.597,653,0.695,1730,Not MVP
1992,David Robinson*,68,2564,27.5,17.7,11.3,3.1,7.4,12.1,13.9,0.551,0.125,0.554,561,0.701,1578,Not MVP
1992,Hakeem Olajuwon*,69,2636,23.7,17.8,9.9,2.4,6.8,12,9.8,0.502,0,0.503,428,0.766,1510,Not MVP
1992,Karl Malone*,81,3054,25.4,16.8,13.4,1.8,1,11.6,15.1,0.526,0.176,0.53,865,0.778,2272,Not MVP
1992,Michael Jordan*,80,3102,27.7,9.5,25.7,3,1.5,8.8,17.7,0.519,0.27,0.533,590,0.832,2404,MVP
1993,Charles Barkley*,76,2859,25.9,18.1,21.2,2,1.6,12.5,14.4,0.52,0.305,0.561,582,0.765,1944,MVP
1993,David Robinson*,82,3211,24.2,17.1,15,2,5.1,12.5,13.2,0.501,0.176,0.506,766,0.732,1916,Not MVP
1993,Hakeem Olajuwon*,82,3242,27.3,18.7,15.8,2.4,6.5,12.4,15.8,0.529,0,0.532,570,0.779,2140,Not MVP
1993,Karl Malone*,82,3099,26.2,16.9,16.9,2,1.8,11.7,15.4,0.552,0.2,0.557,836,0.74,2217,Not MVP
1993,Michael Jordan*,78,3067,29.7,9.8,25.2,3.7,1.3,8.4,17.2,0.495,0.352,0.514,569,0.837,2541,Not MVP
1993,Shaquille O'Neal*,81,3071,22.9,20.6,8.5,1,5.7,15.9,10.4,0.562,0,0.563,721,0.592,1893,Not MVP
1994,Charles Barkley*,65,2298,22.8,17.8,20,2.2,1,14.2,8.8,0.495,0.27,0.541,452,0.704,1402,Not MVP
1994,David Robinson*,80,3241,30.7,14.8,21.6,2.3,5.4,10.9,20,0.507,0.345,0.51,925,0.749,2383,Not MVP
1994,Hakeem Olajuwon*,80,3277,25.3,16.2,16.4,2,5.7,12.3,14.3,0.528,0.421,0.529,542,0.716,2184,MVP
1994,Karl Malone*,82,3329,22.9,16.3,17.1,1.9,2.6,11.1,13.4,0.497,0.25,0.503,736,0.694,2063,Not MVP
1994,Shaquille O'Neal*,81,3224,28.5,18.7,11,1.2,4.5,10.2,16.9,0.599,0,0.6,850,0.554,2377,Not MVP
1995,Charles Barkley*,66,2382,25.2,18.2,18.9,2.3,1.4,9.9,10.6,0.486,0.338,0.521,507,0.748,1561,Not MVP
1995,David Robinson*,81,3074,29.1,16.2,13.7,2.2,5.9,11.1,17.5,0.53,0.3,0.533,847,0.774,2238,MVP
1995,Hakeem Olajuwon*,72,2853,26,15.6,17.2,2.4,5.9,11.7,10.7,0.517,0.188,0.52,537,0.756,2005,Not MVP
1995,Karl Malone*,82,3126,25.1,17.4,16.4,2.1,2.2,11.3,13.8,0.536,0.268,0.543,695,0.742,2187,Not MVP
1995,Michael Jordan*,17,668,22.1,10.3,24.2,2.3,1.5,7,2.3,0.411,0.5,0.403,136,0.801,457,Not MVP
1995,Shaquille O'Neal*,79,2923,28.6,17.6,13.3,1.3,4.5,9.4,14,0.583,0,0.585,854,0.533,2315,Not MVP
1996,Charles Barkley*,71,2632,24.8,18.1,17.4,2.2,1.6,13.4,10.5,0.5,0.28,0.539,566,0.777,1649,Not MVP
1996,David Robinson*,82,3019,29.4,18.4,14.6,1.9,6.4,9.8,18.3,0.516,0.333,0.517,823,0.761,2051,Not MVP
1996,Hakeem Olajuwon*,72,2797,25.5,15.9,18.3,2.1,5.3,12.5,9.7,0.514,0.214,0.517,548,0.724,1936,Not MVP
1996,Karl Malone*,82,3113,26,15.8,20.6,2.4,1.5,9.8,15.1,0.519,0.4,0.522,708,0.723,2106,Not MVP
1996,Kevin Garnett,43,2293,15.8,13.1,10.6,1.9,4.4,12.1,4.4,0.491,0.286,0.499,149,0.705,835,Not MVP
1996,Magic Johnson*,9,958,21.1,11.1,34.1,1.4,1,21.2,3.6,0.466,0.379,0.487,201,0.856,468,Not MVP
1996,Michael Jordan*,82,3090,29.4,10.2,21.2,3.1,1,8.4,20.4,0.495,0.427,0.506,657,0.834,2491,MVP
1996,Shaquille O'Neal*,52,1946,26.4,17.8,15.9,0.9,4.4,11,6.9,0.573,0.5,0.573,511,0.487,1434,Not MVP
1997,Allen Iverson*,74,3045,18,5.6,33.6,2.6,0.6,16.2,4.1,0.416,0.341,0.448,544,0.702,1787,Not MVP
1997,Charles Barkley*,53,2009,23,20.7,20.6,1.8,0.9,14.7,9.4,0.484,0.283,0.569,415,0.694,1016,Not MVP
1997,David Robinson*,6,147,31,20.8,11.5,2.2,3.3,7.8,0.7,0.5,,0.5,52,0.654,106,Not MVP
1997,Hakeem Olajuwon*,78,2852,22.7,14.5,16.2,2.1,4.5,14.8,9.1,0.51,0.313,0.512,446,0.787,1810,Not MVP
1997,Karl Malone*,82,2998,28.9,16.8,24.5,2,1.3,11.1,16.7,0.55,0,0.555,690,0.755,2249,MVP
1997,Kevin Garnett,77,2995,18.2,12.2,14.1,1.9,4.1,12.5,7.3,0.499,0.286,0.503,272,0.754,1309,Not MVP
1997,Kobe Bryant,6,1103,14.4,6.8,13.8,2.3,1.6,18.5,1.8,0.417,0.375,0.437,166,0.819,539,Not MVP
1997,Michael Jordan*,82,3106,27.8,8.8,21.2,2.4,1.1,7.2,18.3,0.486,0.374,0.507,576,0.833,2431,Not MVP
1997,Shaquille O'Neal*,51,1941,27.1,18.8,17.3,1.2,5.8,10.8,8,0.557,0,0.559,479,0.484,1336,Not MVP
1997,Steve Nash,2,684,10.8,5.4,29.5,1.5,0,24.2,0.7,0.423,0.418,0.425,51,0.824,213,Not MVP
1998,Allen Iverson*,80,3150,20.4,5.4,30.6,3,0.6,12.9,9,0.461,0.298,0.494,535,0.729,1758,Not MVP
1998,Charles Barkley*,41,2243,21.6,20.9,16.6,1.7,0.9,13.8,8.6,0.485,0.214,0.52,397,0.746,1036,Not MVP
1998,David Robinson*,73,2457,27.8,18.2,15.9,1.4,5.5,13,13.8,0.511,0.25,0.512,660,0.735,1574,Not MVP
1998,Hakeem Olajuwon*,45,1633,20.8,16.7,15.8,2.7,4.1,14.8,4.5,0.483,0,0.486,212,0.755,772,Not MVP
1998,Karl Malone*,81,3030,27.9,17.1,20.9,1.7,1.7,11.9,16.4,0.53,0.333,0.531,825,0.761,2190,Not MVP
1998,Kevin Garnett,82,3222,20.4,13.9,18.2,2.2,3.3,11.8,9.6,0.491,0.188,0.495,332,0.738,1518,Not MVP
1998,Kobe Bryant,1,2056,18.5,6.7,16,1.8,1.3,12.4,6.3,0.428,0.341,0.456,457,0.794,1220,Not MVP
1998,Michael Jordan*,82,3181,25.2,8.5,18,2.4,1,7.7,15.8,0.465,0.238,0.482,721,0.784,2357,MVP
1998,Shaquille O'Neal*,57,2175,28.8,17.7,13.5,0.9,4.6,10.8,10.2,0.584,,0.584,681,0.527,1699,Not MVP
1998,Steve Nash,9,1664,15.6,5.6,25.2,2,0.2,13.6,4.8,0.459,0.415,0.481,86,0.86,691,Not MVP
1998,Tim Duncan,82,3204,22.6,17.6,13.7,0.9,4.5,15.7,12.8,0.549,0,0.553,482,0.662,1731,Not MVP
1999,Allen Iverson*,48,1990,22.2,6.9,24.2,3,0.3,11.7,7.2,0.412,0.291,0.44,474,0.751,1284,Not MVP
1999,Charles Barkley*,40,1526,23.1,19.8,22.1,1.5,0.6,13.9,6.8,0.478,0.16,0.495,267,0.719,676,Not MVP
1999,David Robinson*,49,1554,24.9,17.8,12.1,2.4,5.3,13.6,8.4,0.509,0,0.51,363,0.658,775,Not MVP
1999,Dirk Nowitzki,24,958,12.8,9.5,8.4,1.6,2,15.7,0.8,0.405,0.206,0.455,128,0.773,385,Not MVP
1999,Hakeem Olajuwon*,50,1784,23.1,15.7,9.5,2.5,4.8,14.1,6.5,0.514,0.308,0.518,272,0.717,945,Not MVP
1999,Karl Malone*,49,1832,25.6,15.4,23,1.9,1.2,13.8,9.6,0.493,0,0.494,480,0.788,1164,MVP
1999,Kevin Garnett,47,1780,22.4,15.4,21.3,2.3,3.5,12,5.4,0.46,0.286,0.463,206,0.704,977,Not MVP
1999,Kobe Bryant,50,1896,18.9,8.1,17.5,2,1.9,14.7,5.2,0.465,0.267,0.494,292,0.839,996,Not MVP
1999,Shaquille O'Neal*,49,1705,30.6,18,14.4,1.1,3.5,10,9,0.576,0,0.577,498,0.54,1289,Not MVP
1999,Steve Nash,40,1269,10.9,5,27.2,1.6,0.1,19.9,1,0.363,0.374,0.355,46,0.826,315,Not MVP
1999,Tim Duncan,50,1963,23.2,16.3,12.1,1.2,4.4,12.7,8.7,0.495,0.143,0.498,358,0.69,1084,Not MVP
2000,Allen Iverson*,70,2853,20,5.2,23,2.6,0.1,10.3,6.9,0.421,0.341,0.435,620,0.713,1989,Not MVP
2000,Charles Barkley*,18,620,19.8,18.9,17.3,1.2,0.4,14,1.9,0.477,0.231,0.51,110,0.645,289,Not MVP
2000,David Robinson*,80,2557,24.6,17.1,10.3,2,4.9,11.6,12.7,0.512,0,0.513,511,0.726,1427,Not MVP
2000,Dirk Nowitzki,81,2938,17.5,9.7,10.9,1.1,1.6,10,8.1,0.461,0.379,0.491,348,0.83,1435,Not MVP
2000,Hakeem Olajuwon*,28,1049,16.7,14.6,10.2,2,4.3,13.4,1.6,0.458,0,0.461,112,0.616,455,Not MVP
2000,Karl Malone*,82,2947,27.1,16.1,20.9,1.4,1.9,11.4,15.3,0.509,0.25,0.511,739,0.797,2095,Not MVP
2000,Kevin Garnett,81,3243,23.6,17.1,21.5,1.9,2.8,13.6,11.6,0.497,0.37,0.504,404,0.765,1857,Not MVP
2000,Kobe Bryant,62,2524,21.7,8.8,22.4,2.2,1.7,11.8,10.6,0.468,0.319,0.489,403,0.821,1485,Not MVP
2000,Shaquille O'Neal*,79,3163,30.6,18.3,19.3,0.6,5.3,9.9,18.6,0.574,0,0.575,824,0.524,2344,MVP
2000,Steve Nash,27,1532,13.5,4.2,25.5,1.2,0.1,20.3,3,0.477,0.403,0.528,85,0.882,481,Not MVP
2000,Tim Duncan,74,2875,24.8,18.1,15.5,1.2,4,13.5,13,0.49,0.091,0.494,603,0.761,1716,Not MVP
2001,Allen Iverson*,71,2979,24,5.2,23,3.2,0.5,10,11.8,0.42,0.32,0.441,719,0.814,2207,MVP
2001,David Robinson*,80,2371,23.7,16.5,8.8,1.8,5.8,10.6,12.1,0.486,0,0.487,470,0.747,1151,Not MVP
2001,Dirk Nowitzki,82,3125,22.8,13.5,9.4,1.3,2.3,9.5,14.6,0.474,0.387,0.513,538,0.838,1784,Not MVP
2001,Hakeem Olajuwon*,55,1545,20.7,16.1,8.3,2.4,4,11,5,0.498,0,0.499,198,0.621,689,Not MVP
2001,Karl Malone*,81,2895,24.7,14.3,24.1,1.7,1.7,12.9,13.1,0.498,0.4,0.499,676,0.793,1878,Not MVP
2001,Kevin Garnett,81,3202,23.9,16.4,21.8,1.8,3.2,12,11.8,0.477,0.288,0.486,467,0.764,1784,Not MVP
2001,Kobe Bryant,68,2783,24.5,8.1,23,2.1,1.1,11.1,11.3,0.464,0.305,0.489,557,0.853,1938,Not MVP
2001,Shaquille O'Neal*,74,2924,30.2,18.1,18.8,0.8,4.9,10.5,14.9,0.572,0,0.573,972,0.513,2125,Not MVP
2001,Steve Nash,70,2387,19.6,5.2,34.6,1.6,0.1,18.5,8.4,0.487,0.406,0.518,258,0.895,1092,Not MVP
2001,Tim Duncan,82,3174,23.8,17.8,15.3,1.2,4.2,12.5,13.2,0.499,0.259,0.504,662,0.618,1820,Not MVP
2002,Allen Iverson*,59,2622,21.9,5.8,27.6,3.5,0.4,11,6.9,0.398,0.291,0.419,585,0.812,1883,Not MVP
2002,David Robinson*,78,2303,20.3,16.2,7,2,4.3,10.9,10.1,0.507,,0.507,395,0.681,951,Not MVP
2002,Dirk Nowitzki,76,2891,24.1,14.5,10.8,1.5,1.9,8.9,13.4,0.477,0.397,0.508,516,0.853,1779,Not MVP
2002,Hakeem Olajuwon*,37,1378,14.4,15.3,8,2.9,4.9,17.7,2.1,0.464,0,0.466,84,0.56,435,Not MVP
2002,Karl Malone*,80,3040,21.1,13.6,21.8,2.7,1.5,13.5,9.8,0.454,0.36,0.456,639,0.797,1788,Not MVP
2002,Kevin Garnett,81,3175,23.8,17.8,22.4,1.6,2.9,12.5,12.8,0.47,0.319,0.484,448,0.801,1714,Not MVP
2002,Kobe Bryant,80,3063,23.2,7.9,25.9,2,0.8,10.7,12.7,0.469,0.25,0.489,589,0.829,2019,Not MVP
2002,Michael Jordan*,53,2093,20.7,9.4,30.8,2.2,0.9,9.9,3.3,0.416,0.189,0.426,333,0.79,1375,Not MVP
2002,Shaquille O'Neal*,66,2422,29.7,16.3,16.4,0.9,4.1,10,13.2,0.579,0,0.58,717,0.555,1822,Not MVP
2002,Steve Nash,82,2837,20.7,5,36.1,1,0.1,15.8,9.9,0.483,0.455,0.495,293,0.887,1466,Not MVP
2002,Tim Duncan,82,3329,27,18,18.3,1,4.3,12.7,17.8,0.508,0.1,0.511,701,0.799,2089,MVP
2003,Allen Iverson*,82,3485,21.2,5.8,25.1,3.4,0.3,11.2,9.2,0.414,0.277,0.44,736,0.774,2262,Not MVP
2003,David Robinson*,64,1676,17.8,17.6,5.9,1.7,4.6,13.9,6,0.469,,0.469,214,0.71,546,Not MVP
2003,Dirk Nowitzki,80,3117,25.6,14,13.3,1.8,2,8.1,16.1,0.463,0.379,0.493,548,0.881,2011,Not MVP
2003,Karl Malone*,81,2936,21.7,13,24.4,2.5,0.8,11.8,11.1,0.462,0.214,0.464,621,0.763,1667,Not MVP
2003,Kevin Garnett,82,3321,26.4,18.8,25.8,1.8,2.8,11.9,15.6,0.502,0.282,0.513,502,0.751,1883,Not MVP
2003,Kobe Bryant,82,3401,26.2,9.3,27.2,2.8,1.4,11.4,14.9,0.451,0.383,0.465,713,0.843,2461,Not MVP
2003,Michael Jordan*,67,3031,19.3,9.7,21.1,2.2,1,9.4,6.2,0.445,0.291,0.45,324,0.821,1640,Not MVP
2003,Shaquille O'Neal*,66,2535,29.5,16.5,16.2,0.8,4.5,11.4,13.2,0.574,,0.574,725,0.622,1841,Not MVP
2003,Steve Nash,82,2711,22.6,4.8,36.3,1.6,0.2,13.2,11.6,0.465,0.413,0.482,339,0.909,1455,Not MVP
2003,Tim Duncan,81,3181,26.9,19,19.5,0.9,5.2,12.9,16.5,0.513,0.273,0.517,634,0.71,1884,MVP
2004,Allen Iverson*,47,2040,19.3,5.1,34.4,3.1,0.2,13.6,2.8,0.387,0.286,0.408,455,0.745,1266,Not MVP
2004,Dirk Nowitzki,77,2915,22.5,12.5,11.3,1.6,2.6,8.3,11.5,0.462,0.341,0.496,423,0.877,1680,Not MVP
2004,Karl Malone*,42,1373,17.8,15.1,19.1,1.9,1.1,17.1,4.3,0.483,0,0.484,225,0.747,554,Not MVP
2004,Kevin Garnett,82,3231,29.4,20.1,24.4,2,4,10.5,18.3,0.499,0.256,0.506,465,0.791,1987,MVP
2004,Kobe Bryant,64,2447,23.7,8.3,24.4,2.4,0.8,10.8,10.7,0.438,0.327,0.463,533,0.852,1557,Not MVP
2004,LeBron James,79,3122,18.3,7.6,27.8,2.2,1.3,13.9,5.1,0.417,0.29,0.438,460,0.754,1654,Not MVP
2004,Shaquille O'Neal*,67,2464,24.4,17.7,14.8,0.7,5,13.5,9.9,0.584,,0.584,676,0.49,1439,Not MVP
2004,Steve Nash,78,2612,20.5,4.8,38.3,1.3,0.2,17.9,8.8,0.47,0.405,0.498,251,0.916,1128,Not MVP
2004,Tim Duncan,68,2527,27.1,19,17.4,1.3,5.3,11.3,13.1,0.501,0.167,0.505,588,0.599,1538,Not MVP
2005,Allen Iverson*,75,3174,23.2,5.3,37.6,2.9,0.2,13.7,9,0.424,0.308,0.451,786,0.835,2302,Not MVP
2005,Dirk Nowitzki,78,3020,26.1,14,14.3,1.7,2.9,9.1,15.6,0.459,0.399,0.47,708,0.869,2032,Not MVP
2005,Kevin Garnett,82,3121,28.2,20.3,27.1,2.1,2.6,12.2,16.1,0.502,0.24,0.507,549,0.811,1817,Not MVP
2005,Kobe Bryant,66,2689,23.3,8.2,28.5,1.7,1.4,14.3,8.1,0.433,0.339,0.472,664,0.816,1819,Not MVP
2005,LeBron James,80,3388,25.7,10.2,32.9,2.8,1.1,11.8,14.3,0.472,0.351,0.499,636,0.75,2175,Not MVP
2005,Shaquille O'Neal*,73,2492,27,17.8,15.7,0.8,5,12.4,11,0.601,,0.601,765,0.461,1669,Not MVP
2005,Steve Nash,75,2573,22,5.2,49.2,1.4,0.2,20.3,10.9,0.502,0.431,0.526,238,0.887,1165,MVP
2005,Tim Duncan,66,2203,27,19.4,16.1,1.1,5.7,9.3,11.2,0.496,0.333,0.498,455,0.67,1342,Not MVP
2006,Allen Iverson*,72,3103,25.9,4.4,34.9,2.3,0.2,10.2,10.6,0.447,0.323,0.465,829,0.814,2377,Not MVP
2006,Dirk Nowitzki,81,3089,28.1,14.2,14.7,1,2.1,7.9,17.7,0.48,0.406,0.496,598,0.901,2151,Not MVP
2006,Kevin Garnett,76,2957,26.8,19.6,20.2,1.9,2.7,11.3,14.9,0.526,0.267,0.532,489,0.81,1656,Not MVP
2006,Kobe Bryant,80,3277,28,7.6,24.1,2.4,0.7,9,15.3,0.45,0.347,0.482,819,0.85,2832,Not MVP
2006,LeBron James,79,3361,28.1,9.8,32.8,2,1.5,10.7,16.3,0.48,0.335,0.518,814,0.738,2478,Not MVP
2006,Shaquille O'Neal*,58,1806,24.4,17.6,12.4,0.7,4.4,14.3,6.2,0.6,,0.6,471,0.469,1181,Not MVP
2006,Steve Nash,79,2796,23.3,6.6,44.4,1.1,0.3,19,12.4,0.512,0.439,0.548,279,0.921,1489,MVP
2006,Tim Duncan,80,2784,23.1,18.7,16.5,1.4,4.2,12.2,10.8,0.484,0.4,0.485,533,0.629,1485,Not MVP
2007,Allen Iverson*,128,5522,20.5,3.933333333,30.63333333,2.333333333,0.266666667,14.2,4.133333333,0.436333333,0.296,0.460666667,406.6666667,0.813,3418,Not MVP
2007,Dirk Nowitzki,78,2820,27.6,14.8,17.8,1,1.7,9.5,16.3,0.502,0.416,0.515,551,0.904,1916,MVP
2007,Kevin Garnett,76,2995,24.1,19.5,19.5,1.6,3.2,11.6,10.7,0.476,0.214,0.487,498,0.835,1704,Not MVP
2007,Kobe Bryant,77,3140,26.1,8.2,25.5,1.8,0.9,10.9,13,0.463,0.344,0.497,768,0.868,2430,Not MVP
2007,LeBron James,78,3190,24.5,9.6,29.1,2.1,1.3,11.5,13.7,0.476,0.319,0.513,701,0.698,2132,Not MVP
2007,Shaquille O'Neal*,39,1135,21.7,15.4,14.3,0.4,3.8,13.5,2.8,0.591,,0.591,294,0.422,690,Not MVP
2007,Steve Nash,76,2682,23.8,5.8,50.1,1.1,0.2,21,12.6,0.532,0.455,0.575,247,0.899,1412,Not MVP
2007,Tim Duncan,80,2726,26.1,18.8,18.8,1.3,5.1,14,13,0.546,0.111,0.55,568,0.637,1599,Not MVP
2008,Allen Iverson*,82,3424,20.9,3.8,27.4,2.2,0.2,11.4,11.6,0.458,0.345,0.482,797,0.809,2164,Not MVP
2008,Dirk Nowitzki,77,2769,24.6,13.8,17.8,1,1.9,9.3,12.9,0.479,0.359,0.504,544,0.879,1817,Not MVP
2008,Kevin Durant,80,2768,15.8,6.9,12,1.4,1.9,12.9,2.3,0.43,0.288,0.455,448,0.873,1624,Not MVP
2008,Kevin Garnett,71,2328,25.3,16.8,19.9,2.3,3.1,10.8,12.9,0.539,0,0.545,336,0.801,1337,Not MVP
2008,Kobe Bryant,82,3192,24.2,9,23.9,2.4,0.9,11.3,13.8,0.459,0.361,0.49,742,0.84,2323,MVP
2008,LeBron James,74,3027,29.1,11.1,37.3,2.4,2.1,11.4,15.2,0.484,0.315,0.531,771,0.712,2250,Not MVP
2008,Shaquille O'Neal*,122,3496,17.1,18.53333333,9.1,0.933333333,3.7,20.5,1.9,0.595,,0.595,225.3333333,0.503333333,1664,Not MVP
2008,Steve Nash,81,2780,21.1,5.7,47.3,0.9,0.1,21.6,10.5,0.504,0.47,0.527,245,0.906,1371,Not MVP
2008,Tim Duncan,78,2651,24.4,19.6,15.7,1.1,4.3,11.4,11.1,0.497,0,0.498,463,0.73,1508,Not MVP
2009,Allen Iverson*,106,4186,15.63333333,4.566666667,24,1.966666667,0.333333333,14,1.933333333,0.427666667,0.273,0.455666667,231.3333333,0.762333333,1990,Not MVP
2009,Derrick Rose,80,3000,16,6.1,28.8,1.1,0.4,13.3,4.9,0.475,0.222,0.491,250,0.788,1361,Not MVP
2009,Dirk Nowitzki,81,3050,23.1,12.8,12.1,1,1.5,7.8,10.9,0.479,0.359,0.493,545,0.89,2094,Not MVP
2009,Kevin Durant,74,2885,20.8,9.6,13.5,1.7,1.4,12.2,7.9,0.476,0.422,0.486,524,0.863,1871,Not MVP
2009,Kevin Garnett,57,1772,21.2,16.6,14.7,1.9,3.1,10.1,7.1,0.531,0.25,0.534,132,0.841,899,Not MVP
2009,Kobe Bryant,82,2960,24.4,8.2,23.8,2.1,1,9.7,12.7,0.467,0.351,0.496,564,0.856,2201,Not MVP
2009,LeBron James,81,3054,31.7,11.9,38,2.4,2.4,11,20.3,0.489,0.344,0.535,762,0.78,2304,MVP
2009,Russell Westbrook,65,2668,15.2,8.6,27.5,2.1,0.4,17.6,1.9,0.398,0.271,0.415,428,0.815,1256,Not MVP
2009,Shaquille O'Neal*,75,2252,22.3,16.4,8.9,1.1,3.5,13.6,7.8,0.609,0,0.61,519,0.595,1333,Not MVP
2009,Steve Nash,74,2484,19.5,5.2,42.4,1.1,0.3,20.8,7.3,0.503,0.439,0.529,210,0.933,1160,Not MVP
2009,Tim Duncan,75,2524,24.4,18.9,19.3,0.8,3.7,11.1,10.1,0.504,0,0.505,483,0.692,1450,Not MVP
2010,Allen Iverson*,48,1730,14.46666667,4.8,23.13333333,1.066666667,0.133333333,15.73333333,0.466666667,0.474666667,0.564333333,0.473666667,87.33333333,0.706,770,Not MVP
2010,Derrick Rose,78,2871,18.6,5.7,30.3,1,0.7,12.5,6,0.489,0.267,0.5,338,0.766,1619,Not MVP
2010,Dirk Nowitzki,80,3039,22.9,11.7,13,1.2,2,7.8,12.3,0.481,0.421,0.487,586,0.915,2027,Not MVP
2010,Kevin Durant,82,3239,26.2,11,13.5,1.8,1.9,11.7,16.1,0.476,0.365,0.506,840,0.9,2472,Not MVP
2010,Kevin Garnett,69,2060,19.4,15.1,15.7,1.7,2.2,10.4,7.3,0.521,0.2,0.523,221,0.837,990,Not MVP
2010,Kobe Bryant,73,2835,21.9,7.7,23.8,2.1,0.5,11.4,9.4,0.456,0.329,0.487,541,0.811,1970,Not MVP
2010,LeBron James,76,2966,31.1,11.1,41.8,2.2,2,12.3,18.5,0.503,0.333,0.56,773,0.767,2258,MVP
2010,Russell Westbrook,82,2813,17.8,8.2,38.6,2,0.9,16.6,6.1,0.418,0.221,0.438,422,0.78,1322,Not MVP
2010,Shaquille O'Neal*,53,1240,17.9,17,11.3,0.6,3.9,15.7,3.1,0.566,0,0.567,226,0.496,636,Not MVP
2010,Stephen Curry,77,2896,16.3,6.8,24.6,2.5,0.5,16.5,4.7,0.462,0.437,0.474,200,0.885,1399,Not MVP
2010,Steve Nash,81,2660,21.6,5.7,50.9,0.8,0.3,21.4,9.9,0.507,0.426,0.54,225,0.938,1333,Not MVP
2010,Tim Duncan,77,2438,24.7,18.9,17.8,1,3.5,10.1,10.9,0.518,0.182,0.522,374,0.725,1395,Not MVP
2011,Derrick Rose,81,3026,23.5,6.4,38.7,1.5,1.3,13.1,13.1,0.445,0.332,0.481,555,0.858,2026,MVP
2011,Dirk Nowitzki,73,2504,23.4,12,14.2,0.8,1.4,9.1,11.1,0.517,0.393,0.538,443,0.892,1681,Not MVP
2011,Kevin Durant,78,3038,23.6,10.3,13.2,1.5,1.8,10.6,12,0.462,0.35,0.504,675,0.88,2161,Not MVP
2011,Kevin Garnett,71,2220,20.6,17.5,13.5,2.3,2,11.1,9,0.528,0.2,0.53,217,0.862,1056,Not MVP
2011,Kobe Bryant,82,2779,23.9,8.5,26.7,1.9,0.3,11.4,10.3,0.451,0.323,0.487,583,0.828,2078,Not MVP
2011,LeBron James,79,3063,27.3,11.4,34.9,2.1,1.3,13.8,15.6,0.51,0.33,0.552,663,0.759,2111,Not MVP
2011,Russell Westbrook,82,2847,23.6,7.8,42.7,2.8,0.8,15.9,9.4,0.442,0.33,0.451,631,0.842,1793,Not MVP
2011,Shaquille O'Neal*,36,752,17.4,14.6,5.9,1.1,4.4,17.8,2.7,0.667,,0.667,131,0.557,341,Not MVP
2011,Stephen Curry,74,2489,19.4,6.5,28.1,2.2,0.6,16.4,6.6,0.48,0.442,0.498,227,0.934,1373,Not MVP
2011,Steve Nash,75,2497,20.8,6,53.1,1,0.1,22.4,7.9,0.492,0.395,0.525,249,0.912,1106,Not MVP
2011,Tim Duncan,76,2156,21.9,18.3,15.7,1.2,4.8,11.4,7.7,0.5,0,0.502,257,0.716,1022,Not MVP
2012,Derrick Rose,39,1375,23,5.3,40.3,1.4,1.4,12.9,6,0.435,0.312,0.475,239,0.812,852,Not MVP
2012,Dirk Nowitzki,62,2079,21.7,11.3,12.6,1.1,1.2,9,7.6,0.457,0.368,0.481,355,0.896,1342,Not MVP
2012,Kevin Durant,66,2546,26.2,11.8,17.5,1.8,2.2,14,12.2,0.496,0.387,0.535,501,0.86,1850,Not MVP
2012,Kevin Garnett,60,1864,20.4,15.6,17.9,1.6,2.5,11.1,6.9,0.503,0.333,0.505,189,0.857,947,Not MVP
2012,Kobe Bryant,58,2232,21.9,7.8,23.7,1.6,0.6,11.7,6.2,0.43,0.303,0.464,451,0.845,1616,Not MVP
2012,LeBron James,62,2326,30.7,12.6,33.6,2.6,1.7,13.3,14.5,0.531,0.362,0.556,502,0.771,1683,MVP
